Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827ER_EGFR	P68366	TUBA4A	0|0|0|0	0	0.00	4	39374|33587|47440|59682|0|0|296|0|0|0|0|0|0|0|246|293|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	A5A3E0	POTEF	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P0CG38	POTEI	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	Q6S8J3	POTEE	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P68032	ACTC1	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P68133	ACTA1	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P60709	ACTB	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P63261	ACTG1	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	Q9BYX7	POTEKP	185|189|0|0	374	93.50	4	20749|26182|38174|44049|0|0|0|0|0|126|0|0|299|270|220|0|134|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.03	0.55	
HCC827ER_EGFR	P62736	ACTA2	0|0|0|0	0	0.00	4	11889|15739|29115|30209|0|0|0|0|0|15906|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P63267	ACTG2	0|0|0|0	0	0.00	4	11889|15739|29115|30209|0|0|0|0|0|15906|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q9BQE3	TUBA1C	307|275|0|0	582	145.50	4	11699|3685|42185|55450|0|0|43678|288|0|0|0|0|220|0|33379|42509|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.08	0.55	
HCC827ER_EGFR	Q99615	DNAJC7	0|0|0|0	0	0.00	4	12568|10024|22443|25568|0|0|0|18438|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P82930	MRPS34	0|0|0|0	0	0.00	4	0|0|0|0|258|294|9182|31665|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P35568	IRS1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35257|56419|18875|41632	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q8WX94	NLRP7	38347|55127|0|0	27938	6984.50	4	0|12432|36618|53954|33987|47371|34617|32299|35149|57565|36662|0|61993|62964|3608|17909|54834|11381|17910|53807	0.50	1.00	0.50	1.00	0.50	-inf	14.40	0.24	
HCC827ER_EGFR	P31948	STIP1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.93	0.00	0.55	
