Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q9BWN1	PRR14	29239|0|0|0	29239	7309.75	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	73097.50	0.31	
HCC827_EGFR	Q8IWK6	ADGRA3	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P27986	PIK3R1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q6NUN0	ACSM5	19531|0|0|0	19531	4882.75	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	48827.50	0.31	
HCC827_EGFR	P68871	HBB	0|0|0|0	0	0.00	4	0|0|203|196	0.00	0.00	0.00	0.00	0.00	-443.18	0.00	0.46	
HCC827_EGFR	Q8WV24	PHLDA1	14934|14040|0|17197	46171	11542.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	115427.50	0.00	
HCC827_EGFR	Q9HCY8	S100A14	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q6PKX4	DOK6	17382|28378|39985|63798	18471	4617.75	4	18190|8185|10549|55512	0.50	1.00	0.50	1.00	0.50	-inf	0.69	0.27	
HCC827_EGFR	O15440	ABCC5	37150|33558|48518|16607	4761	1190.25	4	54211|55092|44119|38302	0.00	0.00	0.00	0.00	0.00	-inf	0.08	0.46	
HCC827_EGFR	O75592	MYCBP2	0|0|0|0	0	0.00	4	627|588|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	P61626	LYZ	0|0|0|0	0	0.00	4	0|0|10556|41114	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	P11274	BCR	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q12979	ABR	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q8IW35	CEP97	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q5D862	FLG2	0|0|0|0	0	0.00	4	45287|29375|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	P49368	CCT3	18193|21809|18366|21552	14384	3596.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	35960.00	0.00	
HCC827_EGFR	Q53GQ0	HSD17B12	37178|36952|0|0	8594	2148.50	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	21485.00	0.09	
HCC827_EGFR	P25705	ATP5A1	158|151|199|233	741	185.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	219.13	1852.50	0.00	
HCC827_EGFR	Q15084	PDIA6	62123|61421|0|0	58008	14502.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	145020.00	0.09	
HCC827_EGFR	E9PKD4	NPIPA5	42008|40171|1735|8777	27155	6788.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	67887.50	0.00	
HCC827_EGFR	Q13946	PDE7A	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P25205	MCM3	0|9728|0|0	9728	2432.00	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	24320.00	0.31	
HCC827_EGFR	Q9Y4H2	IRS2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P62266	RPS23	12420|17129|20876|20991	5880	1470.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	14700.00	0.00	
HCC827_EGFR	Q6ZU80	CEP128	0|0|46326|763	47089	11772.25	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	117722.50	0.09	
HCC827_EGFR	Q92859	NEO1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P62805	HIST1H4A	6777|0|0|0	6777	1694.25	4	0|0|0|22457	0.00	0.00	0.00	0.00	0.00	-inf	0.30	0.46	
HCC827_EGFR	P13639	EEF2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q58FF6	HSP90AB4P	27193|27533|0|0	54726	13681.50	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	136815.00	0.09	
HCC827_EGFR	Q8WXI4	ACOT11	0|0|35466|0	35466	8866.50	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	88665.00	0.31	
HCC827_EGFR	P35030	PRSS3	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
